sentence,is_goal
"For confidenti -ality reasons , BRENNTAG SE do not disclose the exact number of complaints by type .",N
"Accordingly , BRENNTAG SE do not explicitly report the number of complaints relating to data protection measures .",N
"letterEnvironmentSocialStrategy and management “ BRENNTAG SE want to do BRENNTAG SE bit to steer our society , and especially BRENNTAG SE industry , in the direction of sustainable change .",Y
"Yet These events also showed BRENNTAG SE just how important BRENNTAG SE role in the supply chain is , that BRENNTAG SE must work harder to fulfil the responsibility placed upon BRENNTAG SE through our role in the supply chain and BRENNTAG SE position , and that BRENNTAG SE need to get involved in a more high - profile way .",N
"As you are aware , BRENNTAG SE attaches great importance to ESG matters , with the concept of sustainability having been a central part of BRENNTAG SE actions for a number of years now .",N
"BRENNTAG SE want to do BRENNTAG SE bit to steer our society , and espe - cially BRENNTAG SE industry , in the direction of sustainable change .",N
"BRENNTAG SE have developed a strategy in the three areas of environment , social and governance , as well as a Dr. Christian Kohlpaintner Chief Executive Officer BRENNTAG SE 04Global",N
"02 BRENNTAG SE Sustainability Report also serves as BRENNTAG SE annual the UN Global Compact progress report , laying out how BRENNTAG SE have developed in respect of the UN Global Compact ten sustainability principles .",N
"BRENNTAG SE environmental goals include achieving “ net zero ” , i.e. that BRENNTAG SE want to stop emitting Scope 1 and 2 emissions from 2045 .",Y
"BRENNTAG SE are taking a systematic and continuous approach to net zero ” , i.e. that we want to stop emitting Scope 1 and 2 emissions from 2045 with full commitment .",Y
"From 2025 onwards BRENNTAG SE will permanently procure 100 % of BRENNTAG SE electricity consumption from renewable sources , including using BRENNTAG SE own solar power installations .",Y
BRENNTAG SE have also voluntarily committed to becoming carbon neutral from 2025 by offsetting unavoidable and unreducible greenhouse gas emissions resulting from BRENNTAG SE own activities .,Y
BRENNTAG SE are also on BRENNTAG SE way to centrally aligning BRENNTAG SE product portfolio and services with sustainability criteria by 2025 .,Y
aligning is a goal that BRENNTAG SE BRENNTAG SE can actively influence and through which BRENNTAG SE can meaningfully increase the level of sustainability in BRENNTAG SE and along the entire value chain .,Y
"BRENNTAG SE took the first step towards increase in 2021 with the launch of the “ Step4Change ” initiative , through which BRENNTAG SE are also actively helping BRENNTAG SE customers act in a more sustainable way by increasingly offering our customers customised products that are more sustainable , as well as comprehensive services for effective CO2 management .",N
"BRENNTAG SE are also taking an even closer look at sustainability efforts in BRENNTAG SE supply chain , making use of BRENNTAG SE established sustainability assessments and audits and , in future , supplementing our established sustainability assessments and audits with a risk assessment .",N
"For example , as a member of the industry initiative “ Together for Sustainability ” , BRENNTAG SE are committed to respecting human rights and paying living wages in BRENNTAG SE global supply chains .",Y
"In doing so , BRENNTAG SE are coming out strongly in favour of working together fairly around the world .",N
"With two additional personal days in 2025 , BRENNTAG SE , want to show BRENNTAG SE special appreciation to our global community .Dear readers , BRENNTAG SE have set BRENNTAG SE ambitious ESG targets for 2025 and BRENNTAG SE ESG strategy forms the basis for ensuring ourselves ambitious ESG targets for 2022 and the sustainable further development of BRENNTAG SE .",N
"Together with BRENNTAG SE employees , BRENNTAG SE cus - tomers and BRENNTAG SE suppliers , BRENNTAG SE intend to and will set new standards in efforts to achieve greater levels of sustainability , both in BRENNTAG SE and in the value chain of the chemical industry .",Y
"However , many of the require -ments relevant to BRENNTAG SE are already covered under the Responsible Distribu -tion Programme of the National Association of Chemical Distributors ( NACD ) .",N
BRENNTAG SE relies on BRENNTAG SE global reach and BRENNTAG SE extensive product portfo - lio .,N
BRENNTAG SE focuses on ingredients and value- added services for globally relevant sectors with great potential for an extensive range of solutions and high regulatory requirements .,N
"GLOBAL BUSINESSAN OVERVIEW“ConnectingChemistry ” is the brand promise of BRENNTAG SE . BRENNTAG SE source , transport , store , blend and sell chemicals , chemical products and ingredients all over the world .",N
"BRENNTAG SE are the global market leader in chemicals , chemical products and ingredients all over the world",N
", BRENNTAG SE made fundamental changes to BRENNTAG SE operating business structure and implemented two global divisions .",N
BRENNTAG SE markets a comprehensive portfolio of process chemicals for a broad BRENNTAG SE Sustainability Report 2021 06 CEO letterGlobal,N
"ServicesCorporate Functions Provides specialty products , value - added services and tailored solutions for the following six focus industries : Nutrition , Personal Care /HI&I , Water Treatment , Pharma , Material Science , Lubricants Focuses on selling baskets of ingredients and value - added services that are directly used in the production of BRENNTAG SE customers ’ end products Builds on BRENNTAG SE position as the largest specialty chemical distributor worldwide and more systematically exploits BRENNTAG SE unique expertise and the potential of BRENNTAG SE product portfolio Markets a broad portfolio of process chemicals across a wide range of industries and applications Is the agile , lean , and most efficient partner for BRENNTAG SE customers and suppliers in local geographies Builds on BRENNTAG SE existing superior global reach",Y
Oil & Gas Water TreatmentChemical users worldwideChemical manufacturers worldwideFilling packaging labelling Mixing and blendingExtensive technical supportPurchasing Transport StorageWarehouse management Packaging transportCREATING VALUE – BRENNTAG SECENTRAL ROLE IN THE SUPPLY CHAINQUALITY BRENNTAG SE is a chemical distributor which differentiates BRENNTAG SE from BRENNTAG SE competitors through the high level of quality of BRENNTAG SE products and services as well as BRENNTAG SE strong customer focus and the excellent level of service provided by BRENNTAG SE employees .,N
"For example , BRENNTAG SE are asked for information about BRENNTAG SE carbon footprint or how BRENNTAG SE deal with the issues of recycling and waste .",N
"As a result of BRENNTAG SE sustainabil ity monitoring and BRENNTAG SE participation in external ratings such as the EcoVadis as -sessment or the CDP climate rating , BRENNTAG SE is able to respond to enquiries from our customers who are themselves evaluat -ing their suppliers according to sustainability criteria ( for example , in the form of a “ Sustainability Balanced Score - card ” ) and who factor this into their purchasing decisions and meet the standards to which BRENNTAG SE are held .",N
"Using management systems , certificates and audits , BRENNTAG SE constantly ensure compliance with the quality standards required of BRENNTAG SE and which BRENNTAG SE define BRENNTAG SE .",N
"Through various mechanisms , BRENNTAG SE obtain customer feedback for the continuous monitoring and improvement of BRENNTAG SE service quality .",N
The basis for quality management within BRENNTAG SE is the internationally applicable ISO 9001 standard .,N
BRENNTAG SE aim for a global coverage rate of at least 90 % at the relevant BRENNTAG SE locations .,Y
BRENNTAG SE have almost achieved cover with a coverage rate of 97%.The topic climate protection covered three goals for 2021 in addition to a medium - term target for 2020 .,N
"As a result , BRENNTAG SE are well on the way to achiev -ing BRENNTAG SE medium - term goal of using 100 % green energy and generating BRENNTAG SE own energy by 2020 .",N
BRENNTAG SE have con -sequently met BRENNTAG SE climate protection targets for 2021.With regard to sustainable procurement,N
", BRENNTAG SE target for 2021 was to obtain 80 % of BRENNTAG SE chemical spend ( in EUR ) from suppliers BRENNTAG SE have audited at least once with a sustainability assessment as part of BRENNTAG SE membership in the Together for Sustainability initiative ( TfS ) .",Y
BRENNTAG SE have devel -oped a long - term sustainability picture based on nu -merous sustainability trends and tendencies along with BRENNTAG SE business model .,N
"In order to achieve a long - term sustainability picture based on nu -merous sustainability trends and tendencies along with our business model , BRENNTAG SE have set both quantitative medium - term tar -gets and short - term targets for 2022 in six focus areas ( Climate protection and reduction of emissions , Re -source efficiency and circular economy , Fair and safe employer , Responsible partner for suppliers and com - munities , Management structures for business ethics , Portfolio and investment",N
"As a global market leader in the distribution of chemicals and ingredients , BRENNTAG SE play a key role in the value chain in the chemical industry .",N
"In light of play , BRENNTAG SE have a major responsibility and obli -gation to contribute to increased sustainability , both in the chemical industry and for BRENNTAG SE customers and suppliers .",N
"contribute involves a number of global challenges , above all climate protection , which BRENNTAG SE are actively working on .",N
10.CDP score of C B1 Sustainability at Brenntag has not been audited by PWC.2,N
"3 Electricity from renewable sources , which BRENNTAG SE procure through direct supply contracts by purchasing guarantees of origin and by generating Electricity on - site .",N
"BRENNTAG SE pursue BRENNTAG SE sustainability approach on a global scale and work with other companies in partnerships or initiatives to promote the UN ’s Sustainable Development Goals or jointly introduce measures to combat climate change , for example .",N
"Since 2014 , BRENNTAG SE have been a mem - ber of the the UN ’s Global Compact and are committed to the ten principles for human rights , labour standards , envi -ronmental protection and fighting corruption .",N
The aim of the new ESG strat -egy is to ensure BRENNTAG SE is in a position to adapt to the evolving conditions and increased expectations of BRENNTAG SE stakeholders at an early stage .,N
"BRENNTAG SE account for the materiality of topics in terms of three aspects when determining the content of the non- financial report based on the Global Report -ing Initiative ( GRI ) approach and the requirements of the German Commercial Code ( HGB ): the significance for stakeholders , for understanding the business per -formance , the financial result and current position and the effects of BRENNTAG SEactivities on the environment , society and the economy .",N
Another key point of discussion was how BRENNTAG SE can most effectively promote and implement the UN ’s Sustainable Development Goals within BRENNTAG SE own strategy .,N
"Although BRENNTAG SE has been committed to sustainability for many years , BRENNTAG SE plans to undergo groundbreaking changes in terms of sustainability performance .",N
BRENNTAG SE have adopted a systematic and ongoing approach to our Future Sustainable Brenntag vision in order to master the many changes BRENNTAG SE face in the future resiliently .,N
", BRENNTAG SE have established a framework with medium - term goals .",N
"In addition , BRENNTAG SE have also defined short - term actions and goals for 2020 to pave the way to a medium - term framework .",N
BRENNTAG SE enables BRENNTAG SE to guarantee long - term success and meet the increased expectations of BRENNTAG SE stakeholders with regard to non - financial performance .,N
"In order to reach our long - term Future Sustainable Brenntag vision and to address the corre -sponding topics , BRENNTAG SE will introduce ongoing and target - ed measures in the following six focus areas as part of BRENNTAG SE new ESG strategy from 2020 onwards : Climate protection and reduction of emissions Resource efficiency and circular economy Fair and safe employer Responsible partner for suppliers and communities Management structures for business ethics Portfolio and investment",N
"steeringWhen it comes to climate protection and reducing emis -sions , BRENNTAG SE want to achieve net zero emissions and avoid all spillages or leaks that impact the environment in line with the internationally applicable ISO 9001 standard .",Y
"With regard to re - source efficiency and the UN ’s Sustainable Development Goals , BRENNTAG SE will in - tensify BRENNTAG SE action in relation to recycling and reuse , and work closer with suppliers and customers in order to market particularly sustainable products .",Y
"BRENNTAG SE will increase the number of sustainable solutions in BRENNTAG SE portfolio in order to provide resource - conserving , eco - friendly and safe products across the entire value chain .",Y
"In the third focus area , BRENNTAG SE aim to ensure that BRENNTAG SE develops BRENNTAG SE reputation as a fair and safe employer .",N
"With increased in mind , BRENNTAG SE want to create a dynamic corporate culture shaped by diversity and invest in the development of BRENNTAG SE em - ployees on an ongoing basis .",Y
"In the fourth focus area , BRENNTAG SE’re working on iden -tifying and revealing room for improvement across the entire value chain in order to ensure consist - ently safe and fair conditions .",N
"BRENNTAG SE want to be considered a responsible partner not just among BRENNTAG SE suppliers , but also by the local communities in the neighbourhood .",Y
"The sixth focus area , portfolio and investment steering , covers all Group guidelines and principles BRENNTAG SE use to ensure that the topic of sustainability remains firmly anchored in all business activities .",N
"BRENNTAG SE have developed concrete and measurable medium- term targets for each focus area , which BRENNTAG SE have broken down into individual Group functions .",N
"BRENNTAG SE have estab - lished concrete measures for 2020 to set BRENNTAG SE in motion for achieving concrete and measurable medium- term targets for each focus area , which we have broken down into individual Group functions .",N
"Considering BRENNTAG SEcore competencies and business activities , BRENNTAG SE have selected eight Sustainable Development Goals ( SDGs ) to which BRENNTAG SE can make the greatest contribution.1 MMH = million man - hours |",N
"BRENNTAG SE do n’t just want to be a global leader in the distribution of chemicals , but also a leader when it comes to sustaina - bility .",Y
"By 2045 , BRENNTAG SE wants to achieve net zero CO2 emissions .",Y
"achieve net zero CO2 emissions as cost effective - ly as possible , BRENNTAG SE will be launching an innovative system with an internal CO2 price .",Y
BRENNTAG SE are relying on the inventiveness of BRENNTAG SE colleagues to propose innovative projects that best fit the local conditions .,N
the Vice President ( VP ) Sustainability Brenntag Group reports directly to the CEO and is part of the global team of managers tasked with fa - cilitating the integration of sustainability topics in other Group areas or the regions .,N
BRENNTAG SE has replaced the two working groups that worked on the topic of sustainability prior to 2025 .,N
"the Vice President ( VP ) Sustainability Brenntag Group is respon - sible for the further development and global implemen -tation of our new , long - term ESG strategy , while the international team that reports to the Vice President ( VP ) Sustainability Brenntag Group initiates and coordinates global projects .",N
"BRENNTAG SE aim to no -tify BRENNTAG SE various target groups promptly and appropriately regarding developments at BRENNTAG SE and BRENNTAG SE objectives , thus enabling our global community to obtain a comprehensive picture of BRENNTAG SE and BRENNTAG SE business activities .",N
"As a member of relevant tech -nical and industry associations at a local , region -al and international level , BRENNTAG SE maintains an active dialogue concerning industry - specific issues .",N
"Once again , in 2021 , most trade fairs where BRENNTAG SE would normally present BRENNTAG SE portfolio of services and interact with business partners were cancelled or , in a handful of cases , held online .",N
"With our Future Sustainable Brenntag vision , Brenntag Essentials EMEA has launched a company initi - ative aimed at actively helping customers reach customers sus -tainability targets by identifying more sustainable product solutions from BRENNTAG SE manufacturing partners that meet customers needs and providing customers in the required manner , quickly and flexibly .",N
"In this context , BRENNTAG SE have fostered transparency by stating the carbon emissions of the products , the logistics chain and the Brenntag value added based on the available data in each case .",N
"As a result , BRENNTAG SE have laid the foundation for optimizing the value chain from producers and Brenntag to thousands of Brenntag customers situated throughout the world based on carbon emissions .",N
"BRENNTAG SE unites several key competencies from various specialist areas and consists of a core team ( from left to right : Karl Shone , Jason Woods , Diana Dittrich , Wolfgang Edel , Anne Troost , Verena Barkowsky ; not pictured : Stefan Franke , Ian Irvine and Marianne Lyngsaae ) and an additional one to two employees for each region . Raw materials Green energy Carbon compensation Product carbon footprint Improved product labelling 1 Reduced toxicity profile 1 Low ecological impact 1 BRENNTAG SE Sustainability Report 2021 17CEO letterGlobal businessMore",N
BRENNTAG SE will add to this trans -parency in the future with a concept that makes carbon emissions more visible for customers .,Y
"To this end , BRENNTAG SE determines the expected carbon emissions that can be at - tributed to the transport , storage and packaging processes related to the transaction and adds the expected carbon emissions that can be at - tributed to the transport , storage and packaging processes related to the transaction proportionally to the carbon footprint of the respective chemical prod - ucts purchased by the customer .",N
BRENNTAG SE aims to provide active carbon management as a standard service to all BRENNTAG SE customers in the medium term .,Y
BRENNTAG SE are constantly working to improve the qual -ity of BRENNTAG SE data through data enhancement and expanding BRENNTAG SE sources of data .,Y
"Furthermore , the Board of Management intends to review the existing the UN Global Compact compen - sation system and to link variable compensation com - ponents more closely to the achievement of ESG targets in the future .",Y
"BRENNTAG SEis the UN Global Compact and , within the UN Global Compact , the UN Global Compact chairman .",N
"02 BRENNTAG SE Sustainability Report , BRENNTAG SE is subject to a large number of laws , directives , regulations and provisions .",N
The worldwide anti - corruption guideline for BRENNTAG SE specifies what behaviours are expected of em -ployees in this regard .,N
"The worldwide anti - corruption guideline for the Brenntag Group contains and specifies re - quirements for the following areas : Prohibition of corruption and bribery Gifts , hospitality and other benefits Donations and sponsorship , including prohibition of political donations on behalf of the company Prohibition of facilitation payments Relationship with third parties ( sales brokers , agents , etc . )",N
The worldwide anti - corruption guideline for the Brenntag Group is available here .,N
"The worldwide anti - corruption guideline for the Brenntag Group contains further require -ments and measures to counteract corruption and brib -ery , such as ensuring the separation of functions , com -plying with the double - check principle and adhering to the requirement to obtain comparative bids from suppliers and service providers .",N
"Further elements of Brenntag ’s compliance management system relating to the prevention of corruption at BRENNTAG SE are target group - oriented training courses for employees , which are essentially rolled out via BRENNTAG SE e - learning systems .",N
"Through BRENNTAG SE voluntary commitment to the principles of the UN ’s , BRENNTAG SE seeks to lend further weight to BRENNTAG SE position .",N
"BRENNTAG SE oppose all forms of forced labour or child labour , advocate equal opportunities and fair work conditions , and reject dis - crimination of any kind .",Y
"For several years , BRENNTAG SE has voluntarily undergone a sustainability assessment by the international rating agency EcoVadis every two years .",N
"the international rating agency EcoVadis evaluates the sustainability perfor -mance of companies in terms of four categories : envi - ronment , labour practices , fair business practices and sustainable procurement .",N
businessMore informationRatings and membershipsGovernanceEnvironmentSocialStrategy and BRENNTAG SE believes that there is a big risk of potential violations of human rights in BRENNTAG SE supply chain .,N
"BRENNTAG SE compliance programme focuses particu -larly on observing BRENNTAG SE and antitrust law requirements as well as on the prevention of corruption and environmental and health protection , since it is here that BRENNTAG SE sees the great -est risks .",N
BRENNTAG SE hold regular employee training sessions covering the prevention of corruption and environmental and health protection – through regional and global events which employees attend either in person or via e - learning systems .,N
"To date , BRENNTAG SE has overcome the risks posed by the Covid-19 pandemic relatively well thanks to the Covid-19 pandemic wide geo - graphical spread and close supplier relations .",N
"However , the Covid-19 pandemic did not change the risk factors that BRENNTAG SE have to take into consideration .",N
BRENNTAG SE are very closely monitoring the current situation and developments in the war in Ukraine as well as in - ternational measures and decisions and regularly con - duct a risk assessment on this basis .,N
"BRENNTAG SE are in constant dialogue with BRENNTAG SE customers and suppliers in the re -gion , which also enables BRENNTAG SE to identify any impact on BRENNTAG SE business and supply chains at an early stage and act accordingly .",N
"Complying fully with all relevant tax laws , rules , regulations and reporting obligations in countries where BRENNTAG SE operates Ensuring that all tax matters are dealt with in accordance with BRENNTAG SEbusiness strategy and the fundamental values specified in the Code of Business Conduct and Ethics Applying professional diligence in relation to all tax matters Maintaining constructive and transparent rela - tionships with tax authorities that are based on integrity , cooperation and mutual trust Engaging in sustainable tax planning in accordance with legal regulations .",N
BRENNTAG SE does not engage in tax planning that is not related to business transactions .,N
"To comply with tax laws and regulations , BRENNTAG SE has implemented a tax compliance management system ( TCMS ) , starting with the German subsidiaries .",N
"As part of BRENNTAG SE business activ - ities , BRENNTAG SE consume different types of fuel , water and elec -tricity , while producing various emissions , waste and waste -water .",N
"Moreover , as a chemical distributor BRENNTAG SE deal with products that could damage the environment if not han - dled with the necessary care .",N
"ENVIRON -MENTAll around the world , BRENNTAG SE aim to protect resources and use resources optimally , and to minimize the impact that BRENNTAG SE busi - ness activities have on the soil , water and air .",Y
"At the same time , BRENNTAG SE supports BRENNTAG SE customers with sustainable solutions and helps to preserve the environment with eco -logically efficient products , processes and services .",N
"In terms of greenhouse gas emissions generated by BRENNTAG SE own activities , BRENNTAG SE are committed to reaching a net zero target by 2045 in accordance with the EU ’s General Data Protection Regulation ( GDPR ) .",Y
"BRENNTAG SE are currently looking at suitable meas - ures to reduce indirect emissions that arise along BRENNTAG SE value chain , i.e. Scope 3 emissions .",N
"Since then , BRENNTAG SE have col -lected information of each site ’s energy consumption on a quarterly basis .",N
"To increase transparency of SCOPE 1 AND 2 emissions , since 2020 BRENNTAG SE have calculated Scope 2 emissions using the internationally applicable ISO 9001 standard in ad -dition to the location - based method .",N
BRENNTAG SE have detailed both values in 02 BRENNTAG SE Sustainability Report to create a basis for comparison ( see table CO2e emissions BRENNTAG SE ) .,N
"More details at www.there100.orgNFBNFBNFB2 Electricity from renewable sources , which BRENNTAG SE procure through direct supply contracts by purchasing guarantees of origin and by generating Electricity from renewable sources , which we procure through direct supply contracts by purchasing guarantees of origin and by generating it on - site.1",N
"confirmed means that for the first time BRENNTAG SE have n’t set a rela -tive reduction target anymore ( i.e. per warehouse ton sold ) , but rather an absolute reduction target .",N
"Base year : 2020 2Electricity ( in MWh ) 142,272 139,928Thereof electricity from renewable sources , which BRENNTAG SE procure through direct supply contracts by purchasing guarantees of origin 39,328 21,216Thereof electricity from renewable sources BRENNTAG SE generate on - site 337",N
"To ensure comparability , BRENNTAG SE have adjusted the calculation for 2021 in this respect as well .",N
"managementIn addition to transitioning to green electricity , BRENNTAG SE have also introduced numerous other measures .",N
"For instance , at BRENNTAG SE BRENNTAG SE sites in Veile , Kalundborg ( both in Den -mark ) and Kalmar ( Sweden ) , BRENNTAG SE have replaced the oil heating of storage tanks with electric heat exchangers .",N
BRENNTAG SE aim to cover BRENNTAG SE energy demand using BRENNTAG SE own solar panels as much as possible .,Y
BRENNTAG SE have succeeded in doing increased .,N
The associated positive impact from an eco - logical perspective is something that BRENNTAG SE would like to maintain in the future where possible .,Y
", BRENNTAG SE will be launching an innovative system with an internal CO2e price in 2022 : Each BRENNTAG SE company will pay a set price for the emissions Each Brenntag company causes .",N
BRENNTAG SE are relying on the inventiveness of BRENNTAG SE BRENNTAG SE colleagues to propose inno - vative projects that best fit the local conditions .,N
"If the target for the Brenntag Group is not attained , the target for the Brenntag Group will be increased for the following year .",N
"managementSCOPE 3 EMISSIONSTo help create greater transparency with regard to en - vironmental impact within BRENNTAG SE value chain , BRENNTAG SE have included Scope 3 emissions in BRENNTAG SE reporting since 2021 .",N
"In 2021 , BRENNTAG SE have continued to work on estab - lishing ways to improve the quality of BRENNTAG SE data .",N
"In par -ticular , BRENNTAG SE rely on the calculation of the product carbon footprint ( PCF ) based on primary data for products .",N
"BRENNTAG SE have not received enough feedback from BRENNTAG SE suppliers to date , meaning BRENNTAG SE knowledge in par -ticular remains limited .",N
"Nevertheless , BRENNTAG SE are optimistic that remains will soon change due to a programme BRENNTAG SE are currently working on to improve the availability of the calculation of the product carbon footprint ( PCF ) based on primary data for products in the future .",Y
Brenntag Poland maintains a long - term contract with a customer for the supply of a 25 % sodium hydroxide solution .,N
"As dissolving solid sodium hydroxide or diluting the 50 % solution at BRENNTAG SE Polish logistics centre in Kędzi -erzyn - Koźle produces heat , BRENNTAG SE use heat to heat the warehouse located on the site and consequently save energy .",N
"CDP compares thousands of companies worldwide every year ( currently more than 10,000 ) in terms of thousands of companies worldwide strategic approach to the challenges of climate change and assesses thousands of companies worldwide climate management system based on a comprehensive catalogue of criteria .",N
"However , BRENNTAG SE have not recorded VOCs to date .",N
BRENNTAG SE have introduced a number of safety measures to prevent VOCs production in the first place wherever possible .,N
BRENNTAG SE has established a new filling line for pharma -ceutical isopropyl alcohol at BRENNTAG SE Polish logistics centre Kędzierzyn - Koźle .,N
", BRENNTAG SE maintains BRENNTAG SE own fleet of ve -hicles .",N
"BRENNTAG SE uses water in BRENNTAG SE business operations , for ex -ample to produce solutions , to clean pipe systems and to cool or heat chemicals and tank facilities .",N
BRENNTAG SE are currently working on introducing a similar system in Quimisa and Brenntag .,Y
"In addition , as is the case at other sites in the world , BRENNTAG SE have introduced various meas - ures to control water consumption , such as avoiding leaks , replacing pipes , training and conducting environmental and safety inspections.2015 2020 2021Total ( in millions of litres)86.070.276.02015 2020 2021Per warehouse tonne of goods sold ( in litres)80.0 79.384.4BRENNTAG LATIN AMERICA : WATER WITHDRAWALPROTECTION OF SOIL , WATER AND AIRWe work continuously on minimizing the environmen -tal impacts of BRENNTAG SE business activities on the soil , water and air .",N
"million man - hours)With many of BRENNTAG SEsites having been used indus -trially for decades , including those purchased through acquisitions",N
", there is historical soil and groundwater contamination at our available warehouse rooftops , which BRENNTAG SE are combating with appropriate remediation measures .",N
BRENNTAG SE obtains around 90 % of BRENNTAG SE water from the public water supply network .,N
"Water - intensive processes , such as hydrostatic BRENNTAG SE Sustainability Report 2021 30Environmental protectionCEO letterGlobal businessMore informationRatings and membershipsGovernanceEnvironmentSocialStrategy and managementAll of BRENNTAG SEsites implement suitable environmen -tal protection measures .",N
"In the rare event that chemicals are released during processing , when being placed in or moved between containers or during transportation , BRENNTAG SE has strict and effective measures in place to quickly rectify the problem and clean up and dispose of chemicals .",N
"As part of this , BRENNTAG SE maintain a close dialogue with manufacturers and with the national umbrella associations of chemical dealers , with the common goal of reducing the volume of waste in the chemical industry and increasing recycling rates .",N
"BRENNTAG SE have optimized BRENNTAG SE packaging cycle : At Brenntag EMEA , several hundred thousand IBCs ( intermediate bulk container ) circulate an -nually .",N
"Therefore , in the following section , as a non - financial parent company , TAXONOMY present the share of TAXONOMY consolidated turnover , capital expenditure ( Capex ) and operating expenses ( Opex ) for the 2021 reporting period for BRENNTAG SE economic activities in relation to the first two environmental objectives ( climate change miti -gation and adaptation ) pursuant to Art . 8 EU Taxonomy Regulation and Art . 10 ( 2 ) of Art . 8 Delegated Act .",N
BRENNTAG SE focuses on those activities that can potentially make the greatest contribution to climate protection .,N
BRENNTAG SE generates external sales as a distributor only in the context of one activity : the sale of chemicals and in -gredients .,N
"In addition , the transport of BRENNTAG SE chemicals and ingredients to BRENNTAG SE customers is not reported as a Taxonomy - eligible activity and is not included in BRENNTAG SE turn -over key performance indicator ( KPI ) , as BRENNTAG SE do not gen -erate external sales from the transport of our chemicals and ingredients to our customers on a stand - alone basis .",N
"However , BRENNTAG SE discloses Capex and Opex related to the acquisition of output from Taxonomy - eligible eco -nomic activities and individual measures to improve en -ergy efficiency , which are listed in BRENNTAG SE ( see table 2 ) .",N
"Therefore , BRENNTAG SE are unable to report any Taxonomy - eligible economic activities in terms of turnover .",N
"For further details on BRENNTAG SE accounting policies regarding BRENNTAG SE consolidated net turnover , cf . page 164 of our Annual Report 2021 2021.With regard to the numerator , BRENNTAG SE have not identified any Taxonomy - eligible activities , as explained above .",N
"Goodwill is not included in BRENNTAG SE , because Goodwill is not de - fined as an intangible asset in accordance with IAS 38 .",N
"With regard to the numerator , BRENNTAG SE refer to BRENNTAG SE expla -nations below .",N
"For BRENNTAG SE , the following aspects must be taken into account in this regard : BRENNTAG SE does not incur any research and development expenses .",N
"Even though variable leases and low - value leases are not explicitly mentioned in the Art . the EU ’s General Data Protection Regulation ( GDPR ) , BRENNTAG SE have interpreted the EU ’s General Data Protection Regulation ( GDPR ) as to include variable leases and low - value leases .",N
"BRENNTAG SE has not identified Taxonomy - eligible economic activities , BRENNTAG SE do not record Capex / Opex re -lated to assets or processes that are associated with Tax -onomy - eligible economic activities ( “ category a ” acc . to Sect . 1.1.2.2 of Annex I to the Art . the EU ’s General Data Protection Regulation ( GDPR ) ) in the numerator of THE CAPEX KPI and the Opex KPI .",N
"Furthermore , there are no Capex plans to upgrade a Taxonomy - eligible economic activity to become Taxono -my - aligned or to expand a Taxonomy - eligible economic activity ( “ category b ” acc . to Sect . 1.1.2.2 of Annex I to the EU ’s General Data Protection Regulation ( GDPR ) . 8 Delegated Act).Only “ category c ” Capex and Opex can therefore qualify as Taxonomy - eligible , i.e. Capex / Opex related to the pur -chase of output from Taxonomy - eligible economic activi -ties and individual measures to improve energy efficiency that are listed in the Delegated Climate Act ( Sect . 1.1.2.2 . ( c ) of Annex I to the Art . BRENNTAG SE ) .",N
"In this way , TAXONOMY ensure that no Capex or Opex is considered more than once .",N
"As a result , BRENNTAG SE has identified the following pur -chased outputs and individual measures that corre -spond to eligible economic activities and thus result in Taxonomy - eligible Capex / Opex : NFBNFBNFBTable 2 – Individually Taxonomy - eligible Capex / Opex and the corresponding economic activities Description of the individually Taxonomy - eligible purchased output / measureCorresponding economic activity ( Annex I to the Art . 8 Delegated Climate Act)Purchase and leasing of e - vehicles as company cars",N
"Renovation of existing buildingsMaintenance and repair of energy efficiency equipment in BRENNTAG SE existing buildings7.3 . Installation , maintenance and repair of energy efficiency equipmentInstallation of charging stations for electric vehicles 7.4 . Installation , maintenance and repair of charging stations for electric vehicles in buildings ( and parking spaces attached to buildings)Purchase of new buildings 7.7 .",N
Acquisition and ownership of BRENNTAG SE is continuously working to reduce BRENNTAG SE own carbon footprint .,N
"In particular , through the Carbon Man -agement Programme which will be implemented in 2022 , BRENNTAG SE will increasingly purchase Taxonomy - eligible services or implement measures so that we can report higher values in the future .",Y
"In addition , the influence that BRENNTAG SE has as a distributor should not be under -estimated .",N
"BRENNTAG SE see it as BRENNTAG SE responsibility to offer fair working conditions and an attractive , safe and inspirational working environment while encouraging BRENNTAG SE employees ’ personal and professional development in a targeted manner .",N
HUMAN RESOURCES STRATEGY AND MANAGEMENTWe have further developed BRENNTAG SE globally uniform HR strategy and determined the priorities for the coming years on the basis of BRENNTAG SE corporate strategy and BRENNTAG SE corporate values .,N
Flexible work -ing structures and digitalization are only a few of the other topics BRENNTAG SE aim to consistently focus on with in -creased intensity in the future .,Y
BRENNTAG SE aim to achieve this,N
"placed involved launching corresponding initiatives , which BRENNTAG SE will explain in greater detail under the individual areas of focus below .",N
"In order to implement and manage BRENNTAG SE globally standardized HR processes , BRENNTAG SE use a global HR management system .",N
plemented will assist HR management and man - agers in HR management and man - agers roles and facilitate the ongoing develop - ment of BRENNTAG SE HR work .,N
"Following this clear trend , BRENNTAG SE expect to see virtual formats such as conducting the initial interview by vid -eo to become a fixed element of the overall process .",N
BRENNTAG SE place great importance on integrat -ing new employees successfully and training new employees on new employees new duties as part of a structured approach,N
